,endpoint,message,data
34,Historical Options,success,"{'contractID': 'IBM101218C00115000', 'symbol': 'IBM', 'expiration': '2010-12-18', 'strike': '115.00', 'type': 'call', 'last': '0.00', 'mark': '29.15', 'bid': '28.35', 'bid_size': '144', 'ask': '29.95', 'ask_size': '144', 'volume': '0', 'open_interest': '0', 'date': '2010-11-15', 'implied_volatility': '0.47912', 'delta': '0.94706', 'gamma': '0.00522', 'theta': '-0.12577', 'vega': '0.04662', 'rho': '0.09664'}"
35,Historical Options,success,"{'contractID': 'IBM101218P00115000', 'symbol': 'IBM', 'expiration': '2010-12-18', 'strike': '115.00', 'type': 'put', 'last': '0.12', 'mark': '0.12', 'bid': '0.11', 'bid_size': '19', 'ask': '0.13', 'ask_size': '7', 'volume': '21', 'open_interest': '186', 'date': '2010-11-15', 'implied_volatility': '0.36952', 'delta': '-0.01976', 'gamma': '0.00300', 'theta': '-0.04224', 'vega': '0.02070', 'rho': '-0.00267'}"
36,Historical Options,success,"{'contractID': 'IBM101218C00120000', 'symbol': 'IBM', 'expiration': '2010-12-18', 'strike': '120.00', 'type': 'call', 'last': '24.25', 'mark': '23.88', 'bid': '23.75', 'bid_size': '34', 'ask': '24.00', 'ask_size': '73', 'volume': '1', 'open_interest': '21', 'date': '2010-11-15', 'implied_volatility': '0.34178', 'delta': '0.96431', 'gamma': '0.00532', 'theta': '-0.06651', 'vega': '0.03391', 'rho': '0.10364'}"
37,Historical Options,success,"{'contractID': 'IBM101218P00120000', 'symbol': 'IBM', 'expiration': '2010-12-18', 'strike': '120.00', 'type': 'put', 'last': '0.17', 'mark': '0.17', 'bid': '0.16', 'bid_size': '19', 'ask': '0.18', 'ask_size': '6', 'volume': '121', 'open_interest': '1140', 'date': '2010-11-15', 'implied_volatility': '0.32684', 'delta': '-0.03000', 'gamma': '0.00482', 'theta': '-0.05302', 'vega': '0.02939', 'rho': '-0.00405'}"
38,Historical Options,success,"{'contractID': 'IBM101218C00125000', 'symbol': 'IBM', 'expiration': '2010-12-18', 'strike': '125.00', 'type': 'call', 'last': '10.97', 'mark': '18.90', 'bid': '18.70', 'bid_size': '327', 'ask': '19.10', 'ask_size': '228', 'volume': '0', 'open_interest': '4', 'date': '2010-11-15', 'implied_volatility': '0.28126', 'delta': '0.95430', 'gamma': '0.00790', 'theta': '-0.06695', 'vega': '0.04145', 'rho': '0.10684'}"
39,Historical Options,success,"{'contractID': 'IBM101218P00125000', 'symbol': 'IBM', 'expiration': '2010-12-18', 'strike': '125.00', 'type': 'put', 'last': '0.26', 'mark': '0.23', 'bid': '0.21', 'bid_size': '42', 'ask': '0.25', 'ask_size': '27', 'volume': '20', 'open_interest': '1666', 'date': '2010-11-15', 'implied_volatility': '0.27973', 'delta': '-0.04486', 'gamma': '0.00783', 'theta': '-0.06304', 'vega': '0.04084', 'rho': '-0.00603'}"
40,Historical Options,success,"{'contractID': 'IBM101218C00130000', 'symbol': 'IBM', 'expiration': '2010-12-18', 'strike': '130.00', 'type': 'call', 'last': '15.05', 'mark': '14.47', 'bid': '14.00', 'bid_size': '41', 'ask': '14.95', 'ask_size': '231', 'volume': '1', 'open_interest': '71', 'date': '2010-11-15', 'implied_volatility': '0.29696', 'delta': '0.87783', 'gamma': '0.01579', 'theta': '-0.14604', 'vega': '0.08750', 'rho': '0.10092'}"
41,Historical Options,success,"{'contractID': 'IBM101218P00130000', 'symbol': 'IBM', 'expiration': '2010-12-18', 'strike': '130.00', 'type': 'put', 'last': '0.37', 'mark': '0.39', 'bid': '0.37', 'bid_size': '105', 'ask': '0.41', 'ask_size': '65', 'volume': '200', 'open_interest': '3002', 'date': '2010-11-15', 'implied_volatility': '0.24269', 'delta': '-0.07981', 'gamma': '0.01416', 'theta': '-0.08577', 'vega': '0.06409', 'rho': '-0.01072'}"
42,Historical Options,success,"{'contractID': 'IBM101218C00135000', 'symbol': 'IBM', 'expiration': '2010-12-18', 'strike': '135.00', 'type': 'call', 'last': '9.45', 'mark': '9.43', 'bid': '9.35', 'bid_size': '268', 'ask': '9.50', 'ask_size': '59', 'volume': '36', 'open_interest': '788', 'date': '2010-11-15', 'implied_volatility': '0.21114', 'delta': '0.84420', 'gamma': '0.02622', 'theta': '-0.12293', 'vega': '0.10327', 'rho': '0.10111'}"
43,Historical Options,success,"{'contractID': 'IBM101218P00135000', 'symbol': 'IBM', 'expiration': '2010-12-18', 'strike': '135.00', 'type': 'put', 'last': '0.76', 'mark': '0.77', 'bid': '0.75', 'bid_size': '17', 'ask': '0.78', 'ask_size': '61', 'volume': '327', 'open_interest': '2844', 'date': '2010-11-15', 'implied_volatility': '0.21160', 'delta': '-0.15629', 'gamma': '0.02622', 'theta': '-0.12060', 'vega': '0.10348', 'rho': '-0.02099'}"
