,stock_symbol,timestamp,close,volume,ma_5,ma_10,ma_50,daily_return,intraday_volatility,prev_day_close,prev_day_return,price_diff,target
1814,IBM,2007-01-22 00:00:00+05:00,97.11,13539300,,,,,,97.11,,0.0,0
1815,IBM,2007-01-23 00:00:00+05:00,97.08,10337400,,,,,,97.08,,0.0,0
1816,IBM,2007-01-24 00:00:00+05:00,97.4,5700000,,,,,,97.4,,0.0,0
1817,IBM,2007-01-25 00:00:00+05:00,97.51,6201300,,,,,,97.51,,0.0,0
1818,IBM,2007-01-26 00:00:00+05:00,97.45,5771100,,,,,,97.45,,0.0,0
1819,IBM,2007-01-29 00:00:00+05:00,98.54,7294800,,,,,,98.54,,0.0,0
1820,IBM,2007-01-30 00:00:00+05:00,99.37,7177900,,,,,,99.37,,0.0,0
1821,IBM,2007-01-31 00:00:00+05:00,99.15,6432600,,,,,,99.15,,0.0,0
1822,IBM,2007-02-01 00:00:00+05:00,99.0,6610700,,,,,,99.0,,0.0,0
1823,IBM,2007-02-02 00:00:00+05:00,99.17,6656300,,,,,,99.17,,0.0,0
1824,IBM,2007-02-05 00:00:00+05:00,100.38,8184800,,,,,,100.38,,0.0,0
1825,IBM,2007-02-06 00:00:00+05:00,99.55,6532800,,,,,,99.55,,0.0,0
1826,IBM,2007-02-07 00:00:00+05:00,99.54,7698200,,,,,,99.54,,0.0,0
1827,IBM,2007-02-08 00:00:00+05:00,99.62,6152200,,,,,,99.62,,0.0,0
1828,IBM,2007-02-09 00:00:00+05:00,98.55,6100400,,,,,,98.55,,0.0,0
1829,IBM,2007-02-12 00:00:00+05:00,98.58,5331000,,,,,,98.58,,0.0,0
1830,IBM,2007-02-13 00:00:00+05:00,98.29,5702800,,,,,,98.29,,0.0,0
1831,IBM,2007-02-14 00:00:00+05:00,99.2,5644800,,,,,,99.2,,0.0,0
1832,IBM,2007-02-15 00:00:00+05:00,98.92,5568600,,,,,,98.92,,0.0,0
1833,IBM,2007-02-16 00:00:00+05:00,98.99,4800700,,,,,,98.99,,0.0,0
1834,IBM,2007-02-20 00:00:00+05:00,99.35,4124200,,,,,,99.35,,0.0,0
1835,IBM,2007-02-21 00:00:00+05:00,99.09,4302400,,,,,,99.09,,0.0,0
1836,IBM,2007-02-22 00:00:00+05:00,98.5,5900100,,,,,,98.5,,0.0,0
1837,IBM,2007-02-23 00:00:00+05:00,97.73,6355800,,,,,,97.73,,0.0,0
1838,IBM,2007-02-26 00:00:00+05:00,96.91,5922100,,,,,,96.91,,0.0,0
1839,IBM,2007-02-27 00:00:00+05:00,93.96,11996700,,,,,,93.96,,0.0,0
1840,IBM,2007-02-28 00:00:00+05:00,92.94,12191600,,,,,,92.94,,0.0,0
1841,IBM,2007-03-01 00:00:00+05:00,92.27,12865700,,,,,,92.27,,0.0,0
1842,IBM,2007-03-02 00:00:00+05:00,90.9,9451300,,,,,,90.9,,0.0,0
1843,IBM,2007-03-05 00:00:00+05:00,91.81,10314900,,,,,,91.81,,0.0,0
